product_id,product_name,category,unit_price,unit_cost,margin_rate,base_daily_demand,impulse_score,space_required_cm,perishable
22114,Hot Water Bottle Tea And Sympathy,Beverages,4.25,2.97,0.3,18.84,0.705,32,False
22910,Paper Chain Kit Vintage Christmas,Stationery,2.95,1.83,0.38,34.77,0.812,24,False
22112,Chocolate Hot Water Bottle,Beverages,4.95,3.46,0.3,19.75,0.709,32,False
85099F,Jumbo Bag Strawberry,Toys & Gifts,2.08,1.46,0.3,56.63,0.865,32,False
22469,Heart Of Wicker Small,Home Decor,1.65,0.92,0.44,58.92,0.865,42,False
23245,Set Of 3 Regency Cake Tins,Kitchen,4.95,3.27,0.34,20.84,0.704,42,False
21931,Jumbo Storage Bag Suki,Toys & Gifts,2.08,1.46,0.3,44.77,0.837,32,False
22727,Alarm Clock Bakelike Red,Home Decor,3.75,2.1,0.44,25.62,0.728,42,False
23199,Jumbo Bag Apples,Toys & Gifts,2.08,1.46,0.3,48.92,0.841,32,False
22470,Heart Of Wicker Large,Home Decor,2.95,1.65,0.44,32.46,0.764,42,False
22355,Charlotte Bag Suki Design,Home Decor,0.85,0.48,0.44,59.51,0.846,42,False
22699,Roses Regency Teacup And Saucer,Beverages,2.95,2.06,0.3,32.38,0.754,32,False
23355,Hot Water Bottle Keep Calm,Beverages,4.95,3.46,0.3,19.15,0.665,32,False
22411,Jumbo Shopper Vintage Red Paisley,Stationery,2.08,1.29,0.38,41.32,0.802,24,False
22457,Natural Slate Heart Chalkboard,Home Decor,2.95,1.65,0.44,30.07,0.734,42,False
85099C,Jumbo  Bag Baroque Black White,Toys & Gifts,2.08,1.46,0.3,45.65,0.808,32,False
20685,Doormat Red Retrospot,General Merchandise,7.95,5.56,0.3,13.42,0.616,32,False
23201,Jumbo Bag Alphabet,Toys & Gifts,2.08,1.46,0.3,43.87,0.795,32,False
22726,Alarm Clock Bakelike Green,Home Decor,3.75,2.1,0.44,21.08,0.661,42,False
21175,Gin + Tonic Diet Metal Sign,Home Decor,2.55,1.43,0.44,40.08,0.768,42,False
84347,Rotating Silver Angels T-Light Hldr,General Merchandise,2.55,1.78,0.3,31.07,0.716,32,False
21915,Red  Harmonica In Box,Toys & Gifts,1.25,0.88,0.3,71.91,0.819,32,False
22666,Recipe Box Pantry Yellow Design,Home Decor,2.95,1.65,0.44,27.13,0.686,42,False
84946,Antique Silver T-Light Glass,General Merchandise,1.25,0.88,0.3,63.1,0.802,32,False
22629,Spaceboy Lunch Box,Toys & Gifts,1.95,1.36,0.3,46.75,0.779,32,False
22961,Jam Making Set Printed,Toys & Gifts,1.45,1.01,0.3,53.81,0.784,32,False
48138,Doormat Union Flag,General Merchandise,7.95,5.56,0.3,12.33,0.57,32,False
21181,Please One Person Metal Sign,Home Decor,2.1,1.18,0.44,40.34,0.743,42,False
23173,Regency Teapot Roses,Beverages,9.95,6.96,0.3,9.08,0.528,32,False
21621,Vintage Union Jack Bunting,Stationery,8.5,5.27,0.38,9.14,0.528,24,False
22111,Scottie Dog Hot Water Bottle,Beverages,4.95,3.46,0.3,15.3,0.577,32,False
22722,Set Of 6 Spice Tins Pantry Design,Home Decor,3.95,2.21,0.44,19.6,0.599,42,False
22326,Round Snack Boxes Set Of4 Woodland,Toys & Gifts,2.95,2.06,0.3,28.07,0.657,32,False
48187,Doormat New England,General Merchandise,7.95,5.56,0.3,12.56,0.549,32,False
22138,Baking Set 9 Piece Retrospot,Toys & Gifts,4.95,3.46,0.3,16.22,0.572,32,False
21731,Red Toadstool Led Night Light,General Merchandise,1.65,1.15,0.3,45.93,0.738,32,False
48185,Doormat Fairy Cake,Kitchen,7.95,5.25,0.34,11.86,0.532,42,False
23344,Jumbo Bag 50'S Christmas,Toys & Gifts,2.08,1.46,0.3,33.79,0.669,32,False
23243,Set Of Tea Coffee Sugar Tins Pantry,Beverages,4.95,3.46,0.3,15.75,0.552,32,False
22189,Cream Heart Card Holder,Home Decor,3.95,2.21,0.44,27.18,0.626,42,False
21733,Red Hanging Heart T-Light Holder,Home Decor,2.95,1.65,0.44,25.84,0.613,42,False
21929,Jumbo Bag Pink Vintage Paisley,Stationery,2.08,1.29,0.38,36.09,0.673,24,False
82482,Wooden Picture Frame White Finish,Home Decor,2.55,1.43,0.44,29.53,0.631,42,False
20713,Jumbo Bag Owls,Toys & Gifts,2.08,1.46,0.3,37.52,0.668,32,False
21623,Vintage Union Jack Memoboard,Stationery,9.95,6.17,0.38,10.73,0.489,24,False
22139,Retrospot Tea Set Ceramic 11 Pc,Beverages,4.95,3.46,0.3,14.84,0.519,32,False
22697,Green Regency Teacup And Saucer,Beverages,2.95,2.06,0.3,23.94,0.578,32,False
22090,Paper Bunting Retrospot,Stationery,2.95,1.83,0.38,24.8,0.58,24,False
85066,Cream Sweetheart Mini Chest,Home Decor,12.75,7.14,0.44,5.88,0.426,42,False
22383,Lunch Bag Suki Design,Home Decor,1.65,0.92,0.44,41.15,0.67,42,False
20727,Lunch Bag  Black Skull.,Toys & Gifts,1.65,1.15,0.3,40.13,0.658,32,False
15056N,Edwardian Parasol Natural,General Merchandise,5.95,4.16,0.3,12.96,0.488,32,False
84029E,Red Woolly Hottie White Heart.,Home Decor,4.25,2.38,0.44,15.62,0.499,42,False
48194,Doormat Hearts,Home Decor,7.95,4.45,0.44,11.21,0.463,42,False
20712,Jumbo Bag Woodland Animals,Toys & Gifts,2.08,1.46,0.3,32.04,0.595,32,False
23202,Jumbo Bag Vintage Leaf,Stationery,2.08,1.29,0.38,35.94,0.619,24,False
20724,Red Retrospot Charlotte Bag,Toys & Gifts,0.85,0.6,0.3,58.25,0.676,32,False
20728,Lunch Bag Cars Blue,Toys & Gifts,1.65,1.15,0.3,38.74,0.625,32,False
22630,Dolly Girl Lunch Box,Toys & Gifts,1.95,1.36,0.3,38.67,0.62,32,False
21523,Doormat Fancy Font Home Sweet Home,General Merchandise,7.95,5.56,0.3,10.64,0.433,32,False
23209,Lunch Bag Vintage Doily,Stationery,1.65,1.02,0.38,43.24,0.636,24,False
21843,Red Retrospot Cake Stand,Kitchen,10.95,7.23,0.34,6.6,0.387,42,False
21212,Pack Of 72 Retrospot Cake Cases,Kitchen,0.55,0.36,0.34,119.41,0.683,42,False
21928,Jumbo Bag Scandinavian Blue Paisley,Toys & Gifts,2.08,1.46,0.3,34.34,0.584,32,False
21166,Cook With Wine Metal Sign,Home Decor,2.08,1.16,0.44,33.98,0.575,42,False
23206,Lunch Bag Apple Design,Home Decor,1.65,0.92,0.44,39.94,0.6,42,False
22659,Lunch Box I Love London,Toys & Gifts,1.95,1.36,0.3,37.78,0.587,32,False
22728,Alarm Clock Bakelike Pink,Home Decor,3.75,2.1,0.44,17.59,0.459,42,False
71477,Colour Glass. Star T-Light Holder,General Merchandise,3.29,2.3,0.3,22.13,0.49,32,False
21479,White Skull Hot Water Bottle,Beverages,4.25,2.97,0.3,12.85,0.421,32,False
84997D,Childrens Cutlery Polkadot Pink,General Merchandise,4.15,2.9,0.3,16.74,0.444,32,False
82494L,Wooden Frame Antique White,Home Decor,2.95,1.65,0.44,22.13,0.478,42,False
22501,Picnic Basket Wicker Large,General Merchandise,9.95,6.96,0.3,5.26,0.326,32,False
22328,Round Snack Boxes Set Of 4 Fruits,Toys & Gifts,2.95,2.06,0.3,22.45,0.474,32,False
22467,Gumball Coat Rack,General Merchandise,2.55,1.78,0.3,26.1,0.492,32,False
22969,Homemade Jam Scented Candles,Home Decor,1.45,0.81,0.44,41.09,0.574,42,False
15036,Assorted Colours Silk Fan,General Merchandise,0.83,0.58,0.3,78.12,0.623,32,False
82486,Wood S/3 Cabinet Ant White Finish,General Merchandise,8.95,6.26,0.3,7.05,0.341,32,False
20914,Set/5 Red Retrospot Lid Glass Bowls,Kitchen,2.95,1.95,0.34,20.89,0.442,42,False
20726,Lunch Bag Woodland,Toys & Gifts,1.65,1.15,0.3,32.57,0.513,32,False
22382,Lunch Bag Spaceboy Design,Home Decor,1.65,0.92,0.44,34.31,0.521,42,False
21108,Fairy Cake Flannel Assorted Colour,Kitchen,2.1,1.39,0.34,33.62,0.507,42,False
22835,Hot Water Bottle I Am So Poorly,Beverages,4.95,3.46,0.3,11.39,0.362,32,False
22693,Grow A Flytrap Or Sunflower In Tin,General Merchandise,1.25,0.88,0.3,53.26,0.572,32,False
22865,Hand Warmer Owl Design,Home Decor,2.1,1.18,0.44,27.86,0.467,42,False
21485,Retrospot Heart Hot Water Bottle,Beverages,4.95,3.46,0.3,11.58,0.353,32,False
22698,Pink Regency Teacup And Saucer,Beverages,2.95,2.06,0.3,19.1,0.396,32,False
22384,Lunch Bag Pink Polkadot,Toys & Gifts,1.65,1.15,0.3,34.48,0.499,32,False
22077,6 Ribbons Rustic Charm,General Merchandise,1.95,1.36,0.3,30.11,0.469,32,False
22385,Jumbo Bag Spaceboy Design,Home Decor,2.08,1.16,0.44,28.43,0.453,42,False
21754,Home Building Block Word,General Merchandise,5.95,4.16,0.3,9.11,0.306,32,False
82583,Hot Baths Metal Sign,Home Decor,2.1,1.18,0.44,23.95,0.417,42,False
23240,Set Of 4 Knick Knack Tins Doily,Toys & Gifts,4.15,2.9,0.3,13.72,0.343,32,False
22492,Mini Paint Set Vintage,Stationery,0.65,0.4,0.38,87.32,0.567,24,False
20719,Woodland Charlotte Bag,Toys & Gifts,0.85,0.6,0.3,43.63,0.515,32,False
22624,Ivory Kitchen Scales,Kitchen,8.5,5.61,0.34,6.23,0.261,42,False
22993,Set Of 4 Pantry Jelly Moulds,Toys & Gifts,1.25,0.88,0.3,41.55,0.504,32,False
84978,Hanging Heart Jar T-Light Holder,Home Decor,1.25,0.7,0.44,41.02,0.492,42,False
84078A,Set/4 White Retro Storage Cubes,Toys & Gifts,39.95,27.96,0.3,1.36,0.219,32,False
23301,Gardeners Kneeling Pad Keep Calm,General Merchandise,1.65,1.15,0.3,28.93,0.423,32,False
21232,Strawberry Ceramic Trinket Box,Toys & Gifts,1.25,0.88,0.3,38.87,0.472,32,False
84029G,Knitted Union Flag Hot Water Bottle,Beverages,4.25,2.97,0.3,10.9,0.286,32,False
84997B,Childrens Cutlery Retrospot Red,General Merchandise,4.15,2.9,0.3,13.82,0.309,32,False
85152,Hand Over The Chocolate   Sign,Home Decor,2.1,1.18,0.44,27.12,0.391,42,False
23313,Vintage Christmas Bunting,Stationery,4.95,3.07,0.38,9.83,0.265,24,False
15056BL,Edwardian Parasol Black,General Merchandise,5.95,4.16,0.3,9.32,0.256,32,False
22379,Recycling Bag Retrospot,Toys & Gifts,2.1,1.47,0.3,22.66,0.357,32,False
82483,Wood 2 Drawer Cabinet White Finish,General Merchandise,6.95,4.86,0.3,7.88,0.241,32,False
22084,Paper Chain Kit Empire,Stationery,2.95,1.83,0.38,17.01,0.309,24,False
22900,Set 2 Tea Towels I Love London,Beverages,3.25,2.28,0.3,16.13,0.299,32,False
84997C,Childrens Cutlery Polkadot Blue,General Merchandise,4.15,2.9,0.3,12.41,0.269,32,False
22752,Set 7 Babushka Nesting Boxes,Toys & Gifts,8.5,5.95,0.3,5.87,0.197,32,False
22866,Hand Warmer Scotty Dog Design,Home Decor,2.1,1.18,0.44,21.74,0.328,42,False
22847,Bread Bin Diner Style Ivory,General Merchandise,16.95,11.86,0.3,2.97,0.168,32,False
48184,Doormat English Rose,General Merchandise,7.95,5.56,0.3,6.68,0.2,32,False
23200,Jumbo Bag Pears,Toys & Gifts,2.08,1.46,0.3,23.18,0.326,32,False
22507,Memo Board Retrospot  Design,Home Decor,4.95,2.77,0.44,9.7,0.22,42,False
22083,Paper Chain Kit Retrospot,Stationery,2.95,1.83,0.38,15.27,0.261,24,False
22625,Red Kitchen Scales,Kitchen,8.5,5.61,0.34,5.33,0.162,42,False
22867,Hand Warmer Bird Design,Home Decor,2.1,1.18,0.44,21.12,0.298,42,False
21930,Jumbo Storage Bag Skulls,Toys & Gifts,2.08,1.46,0.3,21.15,0.297,32,False
23343,Jumbo Bag Vintage Christmas,Stationery,2.08,1.29,0.38,19.94,0.283,24,False
22622,Box Of Vintage Alphabet Blocks,Stationery,11.95,7.41,0.38,4.4,0.142,24,False
84077,World War 2 Gliders Asstd Designs,Home Decor,0.29,0.16,0.44,180.48,0.471,42,False
20971,Pink Blue Felt Craft Trinket Box,Toys & Gifts,1.25,0.88,0.3,36.07,0.372,32,False
22941,Christmas Lights 10 Reindeer,Seasonal,8.5,4.93,0.42,5.48,0.139,32,False
22171,3 Hook Photo Shelf Antique White,General Merchandise,8.5,5.95,0.3,5.94,0.147,32,False
23077,Doughnut Lip Gloss,General Merchandise,1.25,0.88,0.3,34.15,0.349,32,False
22551,Plasters In Tin Spaceboy,General Merchandise,1.65,1.15,0.3,26.5,0.299,32,False
21524,Doormat Spotty Home Sweet Home,General Merchandise,7.95,5.56,0.3,5.76,0.128,32,False
23356,Love Hot Water Bottle,Beverages,5.95,4.16,0.3,7.82,0.156,32,False
23207,Lunch Bag Alphabet Design,Home Decor,1.65,0.92,0.44,25.74,0.282,42,False
22558,Clothes Pegs Retrospot Pack 24,General Merchandise,1.65,1.15,0.3,28.49,0.3,32,False
22554,Plasters In Tin Woodland Animals,General Merchandise,1.65,1.15,0.3,25.62,0.271,32,False
23108,Set Of 10 Led Dolly Lights,Toys & Gifts,6.25,4.38,0.3,7.28,0.137,32,False
23328,Set 6 School Milk Bottles In Crate,Beverages,3.75,2.62,0.3,9.33,0.149,32,False
22776,Sweetheart Cakestand 3 Tier,Home Decor,9.95,5.57,0.44,4.08,0.087,42,False
82600,No Singing Metal Sign,Home Decor,2.1,1.18,0.44,19.72,0.218,42,False
22113,Grey Heart Hot Water Bottle,Beverages,4.25,2.97,0.3,10.59,0.146,32,False
22499,Wooden Union Jack Bunting,General Merchandise,5.95,4.16,0.3,6.86,0.113,32,False
22427,Enamel Flower Jug Cream,General Merchandise,5.95,4.16,0.3,6.92,0.112,32,False
20750,Red Retrospot Mini Cases,General Merchandise,7.95,5.56,0.3,5.73,0.083,32,False
20749,Assorted Colour Mini Cases,General Merchandise,7.95,5.56,0.3,5.8,0.083,32,False
21755,Love Building Block Word,General Merchandise,5.95,4.16,0.3,6.67,0.093,32,False
22607,Wooden Rounders Garden Set,Toys & Gifts,9.95,6.96,0.3,4.36,0.06,32,False
20723,Strawberry Charlotte Bag,Toys & Gifts,0.85,0.6,0.3,32.12,0.269,32,False
21790,Vintage Snap Cards,Stationery,0.85,0.53,0.38,47.63,0.341,24,False
22188,Black Heart Card Holder,Home Decor,3.95,2.21,0.44,15.97,0.16,42,False
22568,Feltcraft Cushion Owl,General Merchandise,3.75,2.62,0.3,11.08,0.118,32,False
22424,Enamel Bread Bin Cream,General Merchandise,12.75,8.92,0.3,2.87,0.036,32,False
22149,Feltcraft 6 Flower Friends,General Merchandise,2.1,1.47,0.3,19.93,0.177,32,False
23174,Regency Sugar Bowl Green,Kitchen,4.15,2.74,0.34,10.02,0.097,42,False
21977,Pack Of 60 Pink Paisley Cake Cases,Kitchen,0.55,0.36,0.34,81.49,0.352,42,False
48188,Doormat Welcome Puppies,General Merchandise,7.95,5.56,0.3,6.77,0.061,32,False
47590B,Pink Happy Birthday Bunting,General Merchandise,5.45,3.82,0.3,7.63,0.067,32,False
22273,Feltcraft Doll Molly,Toys & Gifts,2.95,2.06,0.3,14.8,0.12,32,False
22191,Ivory Diner Wall Clock,Home Decor,8.5,4.76,0.44,4.76,0.021,42,False
22158,3 Hearts Hanging Decoration Rustic,Home Decor,2.95,1.65,0.44,11.35,0.089,42,False
